split,game,half_file,tracker_mode,run_dir,second,home_spread_rms_cm,away_spread_rms_cm,home_length_axis_cm,away_length_axis_cm,centroid_distance_cm,entropy_grid,home_spread_rms_cm_volatility,away_spread_rms_cm_volatility,home_length_axis_cm_volatility,away_length_axis_cm_volatility,centroid_distance_cm_volatility,entropy_grid_volatility,vol_index,goal_in_next_30s,goal_in_next_60s,seconds_to_next_goal,next_goal_team
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,0,284.4779,365.9799,403.535,639.362,274.4623,0.096511,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,1,758.1909,211.6833,533.6426,356.4691,239.8757,0.103444,473.713013,154.296684,130.107529,282.8929,34.586599,0.006933,-0.980427,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,2,277.5173,1132.7391,204.7301,1782.2548,610.598,0.073733,477.193328,537.676267,229.51002,854.339321,202.654434,0.018322,0.350273,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,3,1165.385,1214.5955,900.9227,920.5807,643.8615,0.28977,614.084801,385.736319,385.070885,856.784268,146.190775,0.084227,0.735284,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,4,2052.4962,1724.4666,2080.4226,1639.5047,747.3601,0.527192,682.341391,416.769996,583.678149,822.319207,135.517727,0.122526,1.226348,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,5,2015.6481,1614.9158,1974.8488,1144.1821,1362.421,0.530375,553.242741,355.326146,488.057285,756.919885,231.426363,0.098657,0.865682,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,6,1664.0411,1767.5788,1205.4428,1297.7423,1080.8761,0.520378,519.636773,321.548956,534.94873,656.35993,239.779441,0.08388,0.709355,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,7,1563.2548,2337.0014,1393.8429,1431.5888,1414.7991,0.495749,459.800991,356.959478,485.441772,581.715155,253.228519,0.075416,0.545344,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,8,493.4985,177.663,393.3973,233.7167,191.1076,0.151771,536.045412,582.256844,549.817241,658.734772,374.536397,0.108986,1.374391,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,9,38.2274,17.9121,35.3746,32.5372,6.6772,0.0,527.070488,535.311743,528.50674,607.895298,353.413505,0.11374,1.232625,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,10,140.7835,19.324,48.739,36.2785,37.428,0.059196,484.619052,481.92176,476.992504,547.479905,321.14723,0.108286,0.937209,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,11,300.4433,19.3402,162.4933,37.1513,108.2233,0.055927,453.213729,466.493717,475.357185,519.277891,324.768105,0.107919,0.861827,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,12,377.6096,21.6094,191.9605,36.5468,138.1805,0.017805,412.862997,374.615046,445.412653,376.759765,290.691593,0.10876,0.510717,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,13,568.2326,,835.6222,,,0.090974,343.138526,407.143782,440.159564,322.880388,319.294719,0.094474,0.397327,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,14,590.0007,554.0296,714.0198,757.581,324.3618,0.271895,256.604218,394.302877,334.369814,273.374933,346.269236,0.088823,0.127617,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,15,1316.3285,1252.81,1588.9707,1590.9511,959.2286,0.528635,325.552183,467.956584,411.307527,315.630866,348.744977,0.114179,0.54259,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,16,1266.233,1175.6585,1517.4759,1275.7438,1061.0274,0.515689,295.401038,458.517648,341.516416,335.83676,326.276724,0.114474,0.395645,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,17,1105.3554,1148.4614,1414.214,1196.066,955.1583,0.484855,301.410172,390.739461,333.002601,329.065663,297.769983,0.115095,0.266333,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,18,556.1925,1416.8622,916.6655,861.9271,1462.4609,0.386172,249.350825,154.372267,282.712896,221.099013,208.221365,0.090565,-0.467551,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,19,323.7665,101.6744,428.5265,108.5164,188.7059,0.199615,227.066315,298.801872,295.724529,290.127912,344.386946,0.094044,-0.034991,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,20,190.81,731.74,166.8075,429.1989,234.0652,0.236246,230.106349,377.383575,320.559994,329.745542,346.213009,0.091787,0.117044,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,21,1301.9521,1401.3154,1712.8842,2269.1188,949.0533,0.40156,325.254578,461.078475,463.792239,559.626444,426.737108,0.107992,0.873237,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,22,1349.0637,1501.0606,1556.6587,2105.935,851.8687,0.516154,322.249109,473.262978,476.468073,579.948857,435.140537,0.115639,0.962935,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,23,1085.3244,1110.3781,1535.2693,1552.0715,550.1262,0.449098,329.560735,464.087368,414.240842,577.050486,420.318537,0.115027,0.857868,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,24,1001.1413,1110.4149,1209.655,1282.2486,373.1804,0.283302,335.802246,417.682311,434.642024,546.327734,395.981262,0.113515,0.76756,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,25,1597.0332,1116.2235,2853.6898,1125.4741,493.8812,0.325114,322.758665,348.385137,511.550406,478.668174,344.56466,0.092022,0.536629,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,26,1626.0725,1069.2666,3116.9041,888.1944,735.1145,0.372665,320.653047,345.36568,530.722345,470.875415,358.508107,0.095483,0.583923,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,27,1564.7571,967.4482,3073.1969,885.4648,832.7194,0.380265,310.696832,352.827808,524.766873,463.180603,357.68169,0.093159,0.556356,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,28,1389.8395,980.3385,2534.9158,680.8252,400.5712,0.358181,273.272298,327.276749,528.84014,450.230668,350.166248,0.0855,0.431082,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,29,1397.4981,1075.7582,2290.9637,743.749,248.9403,0.353189,250.79556,205.299946,504.421439,381.181976,237.953835,0.067343,-0.072237,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,30,1405.5729,1234.0896,2116.2421,1092.2619,233.0189,0.380212,238.307396,158.126534,495.721701,383.965023,235.010058,0.066382,-0.160846,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,31,1347.4921,998.6984,2039.6811,1156.4224,204.5126,0.425234,133.00127,114.708109,348.770116,206.389077,166.36187,0.054353,-0.807503,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,32,1714.1353,1326.077,2280.9298,1243.76,248.7415,0.467166,164.95443,137.471451,357.272432,198.804461,161.066299,0.047087,-0.779439,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,33,1931.2961,1600.4947,2263.105,1370.0868,405.5143,0.476279,160.296575,125.844967,356.915977,156.050785,146.569325,0.041293,-0.880206,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,34,2042.4536,1607.2011,2161.7809,1258.7823,322.8137,0.463524,162.994004,126.511928,334.48696,140.198943,137.144802,0.025989,-0.99958,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,35,1981.5488,1602.8791,2159.766,897.531,208.4168,0.442916,109.495281,126.363257,170.284971,160.646623,136.514414,0.023868,-1.256402,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,36,1350.3035,935.4373,1658.6544,769.1251,304.0708,0.427793,169.71588,188.411745,194.074707,149.759246,121.956483,0.020625,-1.127157,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,37,1313.3019,901.0174,1866.8364,653.9329,418.7051,0.418824,167.284495,181.671895,210.522192,161.005504,123.65943,0.020762,-1.106217,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,38,1198.9931,875.6606,1838.0751,692.8249,397.1417,0.383956,161.22362,182.918552,159.570202,144.430751,82.600955,0.022041,-1.240624,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,39,1115.6582,1008.6226,1843.1408,788.1244,334.7482,0.343533,168.791248,186.672777,135.681561,147.668322,73.677217,0.025584,-1.250706,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,40,1123.3417,932.7554,1933.221,959.0897,369.1008,0.291294,168.752117,178.426356,127.217414,129.913565,75.520327,0.028105,-1.270672,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,41,1088.2076,878.9987,1768.3345,951.9528,362.9524,0.275642,166.457444,160.262905,136.049966,124.211197,73.28454,0.025168,-1.305648,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,42,1002.0913,809.5127,1482.3513,881.3227,291.1975,0.244509,138.404754,134.473649,140.523418,122.540444,76.037141,0.024088,-1.366086,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,43,0.0,0.0,0.0,0.0,1078.9974,0.174483,216.897807,187.98315,286.976061,198.040041,139.139855,0.03018,-0.853608,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,bytetrack,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_bytetrack,44,0.0,0.0,0.0,0.0,,0.0,205.782059,187.31251,276.843651,186.909587,145.41089,0.046352,-0.8053,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,0,284.4779,365.9799,403.535,639.362,274.4623,0.096511,,,,,,,,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,1,758.1909,211.6833,533.6426,356.4691,239.8757,0.103444,473.713013,154.296684,130.107529,282.8929,34.586599,0.006933,-0.980427,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,2,277.5173,1132.7391,204.7301,1782.2548,610.598,0.073733,477.193328,537.676267,229.51002,854.339321,202.654434,0.018322,0.350273,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,3,1165.385,1214.5955,900.9227,920.5807,643.8615,0.28977,614.084801,385.736319,385.070885,856.784268,146.190775,0.084227,0.735284,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,4,2052.4962,1724.4666,2080.4226,1639.5047,747.3601,0.527192,682.341391,416.769996,583.678149,822.319207,135.517727,0.122526,1.226348,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,5,2015.6481,1614.9158,1974.8488,1144.1821,1362.421,0.530375,553.242741,355.326146,488.057285,756.919885,231.426363,0.098657,0.865682,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,6,1664.0411,1767.5788,1205.4428,1297.7423,1080.8761,0.520378,519.636773,321.548956,534.94873,656.35993,239.779441,0.08388,0.709355,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,7,1563.2548,2337.0014,1393.8429,1431.5888,1414.7991,0.495749,459.800991,356.959478,485.441772,581.715155,253.228519,0.075416,0.545344,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,8,493.4985,177.663,393.3973,233.7167,191.1076,0.151771,536.045412,582.256844,549.817241,658.734772,374.536397,0.108986,1.374391,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,9,38.2274,17.9121,35.3746,32.5372,6.6772,0.0,527.070488,535.311743,528.50674,607.895298,353.413505,0.11374,1.232625,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,10,140.7835,19.324,48.739,36.2785,37.428,0.059196,484.619052,481.92176,476.992504,547.479905,321.14723,0.108286,0.937209,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,11,300.4433,19.3402,162.4933,37.1513,108.2233,0.055927,453.213729,466.493717,475.357185,519.277891,324.768105,0.107919,0.861827,0,0,,
local,/Users/davidmontgomery/football_pose_workbench/backend/datasets/bundesliga_sample/tracker_ab_reid_windows,chelsea_burnley_goal_h1_45s.mp4,hybrid_reid,/Users/davidmontgomery/football_pose_workbench/backend/experiments/tracker_ab_reid_windows_20260308/runs/local_001_b5af707d28_hybrid_reid,12,377.6096,21.6094,191.9605,36.5468,138.1805,0.017805,412.862997,374.615046,445.412653,376.759765,290.691593,0.10876,0.510717,0,0,,
